RANK,TERM,COUNTRY_ADJ,CONTINENT,REGION,REGION_ADJ,GDP_NOMINAL,GDP_PPP
97,Uruguay,Uruguayan,South America,South America,South American,56046,77732
96,Macau,Macanese,Asia,East Asia,East Asian,53859,82683
95,Slovenia,Slovenian,Europe,Southern Europe,Southern European,53742,84889
94,Afghanistan,Afghan,Asia,South Asia,South Asian,19101,87251
93,Turkmenistan,Turkmen,Asia,Central Asia,Central Asian,40761,88908
92,Paraguay,Paraguayan,South America,South America,South American,38145,93062
91,Cameroon,Cameroonian,Africa,Central Africa,Central African,38760,98436
90,Democratic Republic of the Congo,Congolese,Africa,Central Africa,Central African,47320,99241
89,Uganda,Ugandan,Africa,East Africa,East African,34387,100565
88,Nepal,Nepalese,Asia,South Asia,South Asian,30641,101801
87,Costa Rica,Costa Rican,North America,Central America,Central American,61774,103144
86,Jordan,Jordanian,Asia,Western Asia,Western Asian,43744,104215
85,Bolivia,Bolivian,South America,South America,South American,40895,104609
84,Lebanon,Lebanese,Asia,Western Asia,Western Asian,53367,105080
83,Lithuania,Lithuanian,Europe,Northern Europe,Northern European,54219,106497
82,Libya,Libyan,Africa,North Africa,North African,52076,107104
81,Puerto Rico,Puerto Rican,North America,Caribbean,Caribbean,104989,114808
80,Croatia,Croatian,Europe,Southern Europe,Southern European,60416,121917
79,Tunisia,Tunisian,Africa,North Africa,North African,38798,130997
78,Serbia,Serbian,Europe,Southern Europe,Southern European,51409,131878
77,Panama,Panamanian,South America,Central America,Central American,66801,139124
76,Côte d'Ivoire,Ivorian,Africa,West Africa,West African,58792,140293
75,Oman,Omani,Asia,Western Asia,Western Asian,76983,144536
74,Guatemala,Guatemalan,North America,Central America,Central American,76710,149362
73,Azerbaijan,Azerbaijani,Asia,Western Asia,Western Asian,48048,150358
72,Tanzania,Tanzanian,Africa,East Africa,East African,63177,155993
71,Bulgaria,Bulgarian,Europe,Eastern Europe,Eastern European,67927,171333
70,Ghana,Ghanaian,Africa,West Africa,West African,66984,171464
69,Sudan,Sudanese,Africa,North Africa,North African,18902,176499
68,Belarus,Belarusian,Europe,Eastern Europe,Eastern European,63080,188800
67,Ecuador,Ecuadorian,South America,South America,South American,107436,205822
66,Dominican Republic,Dominican,North America,Caribbean,Caribbean,88941,205999
65,New Zealand,New Zealand,Australasia,Australia and New Zealand,,206929,216115
64,Kuwait,Kuwaiti,Asia,Western Asia,Western Asian,134761,218398
63,Angola,Angolan,Africa,Central Africa,Central African,94635,220539
62,Kenya,Kenyan,Africa,East Africa,East African,95503,237073
61,Uzbekistan,Uzbek,Asia,Central Asia,Central Asian,57921,244761
60,Ethiopia,Ethiopian,Africa,East Africa,East African,96108,259093
59,Qatar,Qatari,Asia,Western Asia,Western Asian,183466,273269
58,Finland,Finnish,Europe,Northern Europe,Northern European,268761,283324
57,Myanmar,Myanmari,Asia,Southeast Asia,Southeast Asian,76086,289428
56,Morocco,Moroccan,Africa,North Africa,North African,118725,289993
55,Sri Lanka,Sri Lankan,Asia,South Asia,South Asian,84009,296959
54,Hungary,Hungarian,Europe,Eastern Europe,Eastern European,160967,331973
53,Greece,Greek,Europe,Southern Europe,Southern European,209853,336486
52,Denmark,Danish,Europe,Northern Europe,Northern European,348078,348125
51,Norway,Norwegian,Europe,Northern Europe,Northern European,403336,357410
50,Portugal,Portuguese,Europe,Southern Europe,Southern European,237686,374533
49,Israel,Israeli,Asia,Western Asia,Western Asian,395099,381993
48,Peru,Peruvian,South America,South America,South American,226848,435002
47,Ireland,Irish,Europe,Northern Europe,Northern European,388699,436037
46,Iraq,Iraqi,Asia,Western Asia,Western Asian,234094,445464
45,Czech Republic,Czech,Europe,Eastern Europe,Eastern European,246489,454269
44,Hong Kong,Cantonese,Asia,East Asia,East Asian,366030,468275
43,Chile,Chilean,South America,South America,South American,282318,476738
42,Kazakhstan,Kazakhstani,Asia,Central Asia,Central Asian,180162,508088
41,Algeria,Algerian,Africa,North Africa,North African,169988,508891
40,Austria,Austrian,Europe,Western Europe,Western European,446315,524728
39,Ukraine,Ukrainian,Europe,Eastern Europe,Eastern European,153781,560702
38,Sweden,Swedish,Europe,Northern Europe,Northern European,530833,574078
37,Singapore,Singaporean,Asia,Southeast Asia,Southeast Asian,372063,578204
36,Switzerland,Swiss,Europe,Western Europe,Western European,703082,608721
35,Romania,Romanian,Europe,Eastern Europe,Eastern European,250077,625164
34,Belgium,Belgian,Europe,Western Europe,Western European,529607,626400
33,United Arab Emirates,Emirati,Asia,Western Asia,Western Asian,421142,682969
32,South Africa,South African,Africa,Southern Africa,Southern African,351432,761206
31,Colombia,Colombian,South America,South America,South American,323803,787497
30,Vietnam,Vietnamese,Asia,Southeast Asia,Southeast Asian,261921,807817
29,Bangladesh,Bangladeshi,Asia,South Asia,South Asian,302571,869507
28,Malaysia,Malaysian,Asia,Southeast Asia,Southeast Asian,364702,943336
27,Philippines,Filipino,Asia,Southeast Asia,Southeast Asian,376796,1003038
26,Argentina,Argentinian,South America,South America,South American,449663,1031215
25,Netherlands,Dutch,Europe,Western Europe,Western European,909070,1034543
24,Pakistan,Pakistani,Asia,South Asia,South Asian,278222,1057896
23,Nigeria,Nigerian,Africa,West Africa,West African,448120,1074822
22,Iran,Iranian,Asia,South Asia,South Asian,445345,1172666
21,Egypt,Egyptian,Africa,North Africa,North African,303175,1229832
20,Poland,Polish,Europe,Eastern Europe,Eastern European,592164,1299277
19,Thailand,Thai,Asia,Southeast Asia,Southeast Asian,543650,1338781
18,Australia,Australian,Australasia,Australia and New Zealand,,1392681,1352432
17,Saudi Arabia,Saudi Arabian,Asia,Western Asia,Western Asian,792967,1676022
16,Canada,Canadian,North America,Northern America,Northern American,1736426,1929897
15,Spain,Spanish,Europe,Southern Europe,Southern European,1394116,1987305
14,South Korea,South Korean,Asia,East Asia,East Asian,1642383,2224985
13,Turkey,Turkish,Europe,Western Asia,Western Asian,754412,2325617
12,Mexico,Mexican,North America,Central America,Central American,1258287,2603907
11,Italy,Italian,Europe,Southern Europe,Southern European,2001244,2664946
10,Brazil,Brazilian,South America,South America,South American,1839758,3220373
9,United Kingdom,British,Europe,Northern Europe,Northern European,2827113,3255484
8,France,French,Europe,Western Europe,Western European,2715518,3315118
7,Indonesia,Indonesian,Asia,Southeast Asia,Southeast Asian,1119191,3329169
6,Russia,Russian,Asia,Northern Asia,Northern Asian,1699877,4281807
5,Germany,German,Europe,Western Europe,Western European,3845630,4659795
4,Japan,Japanese,Asia,East Asia,East Asian,5081770,5459155
3,India,Indian,Asia,South Asia,South Asian,2875142,9611679
2,United States,American,North America,Northern America,Northern American,21427700,21427700
1,China,Chinese,Asia,East Asia,East Asian,14342903,23460170
,Somalia,Somali,Africa,East Africa,East African,,
,South Sudan,South Sudanese,Africa,East Africa,East African,,
,Eritrea,Eritrean,Africa,East Africa,East African,,
,Taiwan,Taiwanese,Asia,East Asia,East Asian,574905,
,Slovakia,Slovakian,Europe,Eastern Europe,Eastern European,,
,Venezuela,Venezuelan,South America,South America,South American,,
,Yemen,Yemeni,Asia,Western Asia,Western Asian,,
,Syria,Syrian,Asia,Western Asia,Western Asian,,
